name,team,number,pos,height,weight,age,exp,college,image
"Nzeocha, Mark",Dallas Cowboys,47,LB,6'3”,239,25,R,Wyoming,
"Obada, Efe",Dallas Cowboys,63,DE,6'6”,255,23,R,No College,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/obada_efea.png
"Patmon, Tyler",Dallas Cowboys,26,CB,5'10”,185,24,R,Oklahoma State,
"Randle, Joseph",Dallas Cowboys,21,RB,6'0”,210,23,3,Oklahoma State,
"Rivers, Keith",Dallas Cowboys,56,LB,6'2”,235,29,7,USC,
"Romo, Tony",Dallas Cowboys,9,QB,6'2”,230,35,13,Eastern Illinois,
"Ross, Joel",Dallas Cowboys,29,CB,5'10”,185,23,R,Appalachian State,
"Russell, Ryan",Dallas Cowboys,99,DE,6'5”,267,23,R,Purdue,
"Scandrick, Orlando",Dallas Cowboys,32,CB,5'10”,196,28,8,Boise State,
"Scott, Tim",Dallas Cowboys,41,S,6'0”,195,22,R,North Carolina,
"Seastrunk, Lache",Dallas Cowboys,30,RB,5'10”,201,24,1,Baylor,
"Showers, Jameill",Dallas Cowboys,7,QB,6'1”,230,23,R,Texas-El Paso,
"Smith, Tyron",Dallas Cowboys,77,OT,6'5”,320,24,5,USC,
"Steeples, Robert",Dallas Cowboys,28,CB,6'61,195,25,1,Memphis,
"Street, Devin",Dallas Cowboys,15,WR,6'3”,200,24,2,Pittsburgh,
"Swaim, Geoff",Dallas Cowboys,87,TE,6'4”,250,21,R,Texas,
"Vaughan, Dustin",Dallas Cowboys,10,QB,6'5”,235,24,R,West Texas A&M,
"Vinopal, Ray",Dallas Cowboys,36,S,5'10”,200,23,R,Pittsburgh,
"Weeden, Brandon",Dallas Cowboys,3,QB,6'3”,228,31,4,Oklahoma State,
"Weems, Darrion",Dallas Cowboys,75,OT,6'5”,310,26,3,Oregon,
"Wetzel, John",Dallas Cowboys,61,OT,6'7”,328,23,1,Boston College,
"Whaley, Chris",Dallas Cowboys,64,DT,6'3”,272,24,R,Texas,
"White, Corey",Dallas Cowboys,23,CB,5'11”,206,25,3,Samford,http://www.dallascowboys.com/sites/dallascowboys.com/files/styles/312x312/public/white_headshot.jpg
"Whitehead, Lucky",Dallas Cowboys,13,WR,5'9”,163,23,R,Florida Atlantic,
"Wilber, Kyle",Dallas Cowboys,51,LB,6'4”,245,26,4,Wake Forest,
"Wilcox, J.J.",Dallas Cowboys,27,S,6'0”,212,24,3,Georgia Southern,
"Williams, Ryan",Dallas Cowboys,34,RB,5'9”,207,25,2,Virginia Tech,
"Williams, Terrance",Dallas Cowboys,83,WR,6'2”,208,25,3,Baylor,
"Wilson, Damien",Dallas Cowboys,45,LB,6'0”,243,22,R,Minnesota,
"Wilson, Jason",Dallas Cowboys,33,CB,5'11”,185,22,R,Central Michigan,
"Witten, Jason",Dallas Cowboys,82,TE,6'6”,263,33,13,Tennessee,
